code_dpto,dpto,code_muni,muni,Creditos,Monto,Socias,Anio
05,Nueva Segovia,0505,Jalapa,0,0,0,0000
05,Nueva Segovia,0510,Murra,0,0,0,0000
05,Nueva Segovia,0515,El Jicaro,0,0,0,0000
05,Nueva Segovia,0520,San Fernando,0,0,0,0000
05,Nueva Segovia,0525,Mozonte,0,0,0,0000
05,Nueva Segovia,0530,Dipilto,0,0,0,0000
05,Nueva Segovia,0535,Macuelizo,0,0,0,0000
05,Nueva Segovia,0540,Santa Maria,0,0,0,0000
05,Nueva Segovia,0545,Ocotal,0,0,0,0000
05,Nueva Segovia,0550,Ciudad Antigua,0,0,0,0000
05,Nueva Segovia,0555,Quilali,0,0,0,0000
05,Nueva Segovia,0560,Wiwili (N.S.),0,0,0,0000
10,Jinotega,1005,Wiwili (Jin.),0,0,0,0000
10,Jinotega,1010,El Cua,0,0,0,0000
10,Jinotega,1012,San Jose de Bocay,0,0,0,0000
10,Jinotega,1015,Santa Maria de Pantasma,0,0,0,0000
10,Jinotega,1020,San Rafael del Norte,0,0,0,0000
10,Jinotega,1025,San Sebastian de Yali,0,0,0,0000
10,Jinotega,1030,La Concordia,0,0,0,0000
10,Jinotega,1035,Jinotega,0,0,0,0000
20,Madriz,2005,Somoto,0,0,0,0000
20,Madriz,2010,Totogalpa,0,0,0,0000
20,Madriz,2015,Telpaneca,0,0,0,0000
20,Madriz,2020,San Juan de Rio Coco,0,0,0,0000
20,Madriz,2025,Palacaguina,0,0,0,0000
20,Madriz,2030,Yalaguina,0,0,0,0000
20,Madriz,2035,San Lucas,0,0,0,0000
20,Madriz,2040,Las Sabanas,0,0,0,0000
20,Madriz,2045,San Jose de Cusmapa,0,0,0,0000
25,Esteli,2505,Pueblo Nuevo,0,0,0,0000
25,Esteli,2510,Condega,0,0,0,0000
25,Esteli,2515,Esteli,0,0,0,0000
25,Esteli,2520,San Juan de Limay,0,0,0,0000
25,Esteli,2525,La Trinidad,0,0,0,0000
25,Esteli,2530,San Nicolas,0,0,0,0000
30,Chinandega,3005,San Pedro del Norte,0,0,0,0000
30,Chinandega,3010,San Francisco del Norte,0,0,0,0000
30,Chinandega,3015,Cinco Pinos,0,0,0,0000
30,Chinandega,3020,Santo Tomas del Norte,0,0,0,0000
30,Chinandega,3025,El Viejo,0,0,0,0000
30,Chinandega,3030,Puerto Morazan,0,0,0,0000
30,Chinandega,3035,Somotillo,0,0,0,0000
30,Chinandega,3040,Villa Nueva,0,0,0,0000
30,Chinandega,3045,Chinandega,0,0,0,0000
